X,Y,PL,RMS,PL^3,PL_reciprocal,RMS_PL_ratio,PL_log,PL_squared_RMS
-1119,-1133,63.5,8.45,256047.88,0.02,0.13,4.15,34072.51
-1187,-793,64.1,10.22,263374.72,0.02,0.16,4.16,41992.04
-1530,-1135,63.6,8.8,257259.46,0.02,0.14,4.15,35595.65
-1101,-1300,62.7,8.28,246491.88,0.02,0.13,4.14,32551.08
-1427,-1445,63.6,8.38,257259.46,0.02,0.13,4.15,33896.76
-334,-927,64.2,10.18,264609.29,0.02,0.16,4.16,41958.3
63,-948,63.1,8.66,251239.59,0.02,0.14,4.14,34480.74
-314,-1083,62.8,8.76,247673.15,0.02,0.14,4.14,34548.04
-820,-1324,62.6,8.25,245314.38,0.02,0.13,4.14,32329.77
-764,-824,62.0,8.23,238328.0,0.02,0.13,4.13,31636.12
-673,-1115,63.0,8.6,250047.0,0.02,0.14,4.14,34133.4
-638,-662,62.5,7.97,244140.62,0.02,0.13,4.14,31132.81
-1045,-864,62.5,8.2,244140.62,0.02,0.13,4.14,32031.25
-1352,-1149,63.2,8.39,252435.97,0.02,0.13,4.15,33511.67
-1904,-984,62.8,8.13,247673.15,0.02,0.13,4.14,32063.42
-1939,-991,64.0,9.35,262144.0,0.02,0.15,4.16,38297.6
-1688,-1401,62.4,7.92,242970.62,0.02,0.13,4.13,30838.58
-1933,-1132,63.4,8.64,254840.1,0.02,0.14,4.15,34729.0
-1582,-772,62.5,7.85,244140.62,0.02,0.13,4.14,30664.06
-1227,-596,63.4,8.81,254840.1,0.02,0.14,4.15,35412.32
-845,-903,63.2,8.69,252435.97,0.02,0.14,4.15,34709.95
-806,-498,63.1,9.1,251239.59,0.02,0.14,4.14,36232.65
-769,-841,62.8,8.85,247673.15,0.02,0.14,4.14,34902.98
-1093,-814,63.2,8.81,252435.97,0.02,0.14,4.15,35189.25
-943,-1314,62.8,8.88,247673.15,0.02,0.14,4.14,35021.3
-573,-1262,62.6,8.62,245314.38,0.02,0.14,4.14,33779.71
-297,-909,63.3,9.36,253636.14,0.02,0.15,4.15,37504.49
-768,-1097,62.3,8.2,241804.37,0.02,0.13,4.13,31826.58
-1032,-874,63.4,8.84,254840.1,0.02,0.14,4.15,35532.91
-1172,-464,63.3,9.06,253636.14,0.02,0.14,4.15,36302.42
-1174,-812,64.0,9.3,262144.0,0.02,0.15,4.16,38092.8
-759,-877,63.2,8.45,252435.97,0.02,0.13,4.15,33751.33
-1056,-501,62.8,8.18,247673.15,0.02,0.13,4.14,32260.61
-1610,-521,63.6,8.9,257259.46,0.02,0.14,4.15,36000.14
-1448,-1071,63.6,9.0,257259.46,0.02,0.14,4.15,36404.64
-1287,-1017,63.4,8.61,254840.1,0.02,0.14,4.15,34608.41
-1666,-1069,64.2,9.12,264609.29,0.02,0.14,4.16,37589.36
-1681,-572,63.4,8.86,254840.1,0.02,0.14,4.15,35613.3
-1895,-982,63.7,8.94,258474.85,0.02,0.14,4.15,36275.75
-1651,-1280,63.7,8.97,258474.85,0.02,0.14,4.15,36397.48
-2235,-1178,62.7,8.24,246491.88,0.02,0.13,4.14,32393.83
-1833,-1425,63.9,8.96,260917.12,0.02,0.14,4.16,36585.56
-1354,-1227,62.7,8.03,246491.88,0.02,0.13,4.14,31568.26
-1917,-1183,64.2,9.29,264609.29,0.02,0.14,4.16,38290.04
-1487,-1437,64.0,9.22,262144.0,0.02,0.14,4.16,37765.12
-1183,-921,64.7,9.85,270840.02,0.02,0.15,4.17,41232.99
-873,-834,62.7,8.32,246491.88,0.02,0.13,4.14,32708.33
-1099,-1263,63.4,8.39,254840.1,0.02,0.13,4.15,33724.11
-863,-1019,63.4,9.02,254840.1,0.02,0.14,4.15,36256.43
-759,-486,62.4,8.77,242970.62,0.02,0.14,4.13,34148.28
-1080,-985,63.8,8.73,259694.07,0.02,0.14,4.16,35534.94
-1332,-473,63.5,8.93,256047.88,0.02,0.14,4.15,36007.99
-1687,-478,63.8,9.02,259694.07,0.02,0.14,4.16,36715.37
