-1818,-779,66.5
-2219,-895,65.8
-1686,-903,67.1
-2038,-927,69.2
-1805,-1164,65.8
-1288,-920,66.1
-727,-964,65.6
-196,-1244,67
-711,-1464,68.6
-994,-1334,68.5
-745,-1331,66.9
-1123,-1495,67.5
-1553,-1467,67.3
-1602,-1079,66.5
-1216,-1103,68.1
-1065,-763,68.5
-690,-1207,65.7
-144,-1093,66.4
-350,-729,66.9
-354,-1173,67.4
-1871,-1036,64.8
-1363,-962,67.5
-966,-1253,68.4
-1302,-1151,66.1
-1005,-1037,67.7
-674,-776,68.7
-235,-780,67.2
6,-1049,67.4
-414,-1421,65.5
58,-1340,65.5
-1516,-1220,66.9
-1891,-1403,67.1
-1327,-1370,66.5
-1145,-832,65.6
-733,-778,67.2
-597,-1278,68.3
-388,-743,65.4
158,-913,67.9
199,-1234,68.1
325,-1517,70
-781,-1314,67.1
-969,-788,67.1
-1128,-1086,67.6
-981,-585,67.1
-671,-634,66.2
-191,-512,66.2
-507,-496,67.2
-872,-942,68.9
-1162,-745,66.1
-857,-630,66.7
-1230,-707,68.4
-1160,-1031,67.2
-773,-985,66.3
-434,-1223,67.6
-288,-805,67.6
-572,-1037,67.1
-964,-1093,67
-1062,-1448,68.4
-1247,-1204,66.9
-1230,-1508,67.6
-2780,-1119,64.8
-2256,-1284,65.3
-1736,-1129,66
-1168,-1054,66.1
-749,-795,66
-1235,-849,69.4
-992,-1081,67.9
-1463,-749,66.1
-1914,-932,67.2
-2222,-1150,67.6
-162,-1065,66.9
-526,-598,66.7
-246,-981,66.9
-816,-1138,67.2
-961,-1414,68.3
-976,-1059,68.2
-646,-744,66.6
-170,-619,66.3
136,-880,68.6
146,-1375,67.6
-555,-473,66.7
-535,-794,68.2
-795,-1023,67.6
-579,-718,65.7
-889,-627,66.9
-1119,-1133,68
-1187,-793,67.4
-1530,-1135,66
-1101,-1300,66.5
-1427,-1445,68.6
-334,-927,66.1
63,-948,66.1
-314,-1083,65.7
-820,-1324,67.2
-764,-824,66.8
-673,-1115,66.9
-638,-662,67.2
-1045,-864,68
-1352,-1149,66.9
-1904,-984,66.4
-1939,-991,69.4
-1688,-1401,67.1
-1933,-1132,66
-1582,-772,66
-1227,-596,66.8
-845,-903,69
-806,-498,68.2
-769,-841,65.7
-1093,-814,68.7
-943,-1314,68
-573,-1262,69.1
-297,-909,65.6
-768,-1097,65.7
-1032,-874,66.3
-1172,-464,66.6
-1174,-812,64
-759,-877,68.6
-1056,-501,67.1
-1610,-521,68.6
-1448,-1071,68
-1287,-1017,65.9
-1666,-1069,68.1
-1681,-572,67
-1895,-982,66.5
-1651,-1280,68.1
-2235,-1178,66.6
-1833,-1425,66.4
-1354,-1227,67.3
-1917,-1183,65.2
-1487,-1437,66.1
-1183,-921,65
-873,-834,68
-1099,-1263,65
-863,-1019,66.9
-759,-486,67
-1080,-985,67.5
-1332,-473,65.6
-1687,-478,66
-2250,-602,66.6
-2580,-515,65.6
-799,-1534,67.9
-519,-1282,64.7
-332,-1012,67.5
-667,-831,66.9
-322,-732,65.8
-743,-673,66.4
-452,-765,66
-175,-990,66.1
147,-1191,67.2
251,-723,67
-846,-1260,67.1
-668,-866,66.1
-1122,-1056,68.2
-1434,-864,67.7
-1359,-1169,66.2
-1038,-1000,65.4
-486,-905,68.2
-304,-1184,66.2
124,-778,66
527,-902,66.1
-2076,-1409,67.7
-2270,-1136,65
-1915,-1338,66.1
-1536,-1468,67.6
-1775,-1049,67.6
-1780,-746,66.1
-2089,-642,68.2
-2118,-1108,68.8
-1634,-770,67.6
-1528,-1289,69.8
-121,-1330,67.7
-565,-1450,64.7
-274,-1135,67.1
-809,-944,67.1
-1154,-926,67.1
-1297,-1355,66.9
-1807,-1443,66.9
-1729,-931,66.1
-2265,-851,65.3
-1776,-713,66
-1664,-1262,65.3
-1322,-1368,67.2
-1199,-1007,67.9
-1019,-1303,66
-1133,-943,68
-1341,-1204,66.9
-1802,-1148,65.3
-1340,-961,67.3
-1770,-916,67.6
-2059,-1257,69.7
-1494,-1093,65.9
-1138,-1147,67.1
-1071,-855,67.6
-1345,-1324,68
-1877,-1116,66.1
-2245,-891,69.5
-2012,-1228,68.5
-2421,-1234,67.3
-2370,-852,67.3
-2500,-1387,68.1
