2754,-1330,12.59
2729,-805,11.37
2932,-1121,12.27
2920,-669,10.82
3120,-1138,10.23
3143,-571,10.05
3674,-824,11.28
3402,-448,11.33
3514,-126,10.62
3512,218,10.31
1829,104,11.03
2120,29,10.66
1675,-278,11.94
1837,-697,11.37
2295,-742,9.98
2719,-1111,11.66
2836,-607,11.47
3325,-499,9.46
2988,-392,10.82
3451,-352,10.49
4065,-365,10.93
4470,-139,11.7
4821,-306,11.5
4906,-823,10.58
4551,-793,12.84
4085,-595,11.36
3750,-478,10.63
3608,-94,11.44
3121,-120,12.41
2588,-156,11.61
2003,-1337,10.07
1729,-1480,11.2
1943,-1003,12.62
1972,-554,12.02
2307,-844,12.82
2870,-742,10.9
2388,-711,10.81
2627,-289,11.5
3180,-364,11.54
3054,-891,10.95
1933,-1732,10.64
1689,-1986,11.28
1580,-1583,12.28
1080,-1354,12.92
1618,-1301,11.71
1935,-1333,12.45
2144,-969,11.73
2503,-685,12.5
2208,-380,11.09
2367,91,11.19
1250,-1001,11.16
1440,-1245,9.72
1153,-1614,10.47
750,-1218,10.74
932,-751,10.61
610,-595,11.05
202,-549,11.4
520,-248,11.88
17,-565,10.29
69,-222,11.59
-564,-917,9.79
-745,-530,11.56
-1067,-593,10.75
-1338,-989,11.84
-1707,-748,12.13
-1490,-1208,11.14
-1591,-1708,12.21
-1108,-1804,11.46
-1412,-1865,13.66
-1558,-1580,12.17
417,-910,11.42
-53,-758,8.94
-540,-629,9.76
-798,-1046,11.83
-724,-1626,10.57
-937,-1333,11.22
-1206,-1770,10.28
-1527,-1583,11.74
-1344,-1864,11
-1104,-2282,10.86
507,-2159,12.9
251,-1846,10.34
221,-2190,12.02
-154,-1898,11.49
-308,-2243,10.6
-397,-2543,10.47
-890,-2356,11.91
-519,-2311,11.5
-730,-1932,12.84
-1181,-1700,12.78
1435,-2369,13.05
1672,-1849,11.75
2098,-1567,10.34
1696,-1474,13.49
2216,-1443,11.63
2721,-1742,9.89
2432,-2104,12.19
2894,-2099,11.51
3280,-2025,10.3
3363,-1715,11.68
2338,-1398,10.12
2615,-1195,11.45
2147,-1218,11.02
1889,-1372,10.51
1931,-1901,12.99
2413,-1624,10.93
2110,-2113,10.8
1516,-2176,11.58
1731,-1779,10.94
2084,-1922,11.52
1610,-1977,12.49
1592,-1434,11.15
2112,-1367,11.59
2410,-1522,10.34
2150,-1898,11.1
2513,-2062,12.59
2753,-1665,12.98
3122,-1865,9.97
3239,-2272,10.74
2927,-2437,10.97
2491,-1160,11.33
2217,-915,11.25
1930,-1211,11.54
2253,-1167,10.86
2670,-1429,9.97
2780,-1765,10.1
2772,-2078,11.26
2972,-2555,13.4
2672,-2285,11
2303,-2619,10.74
4186,-556,10.81
4034,-981,10.57
3944,-1456,11.6
3632,-1008,10.86
3174,-1057,10.14
2837,-1183,11.91
3079,-820,10.92
2683,-983,11.52
2482,-1538,13.26
2047,-1321,10.87
1491,-1516,10.33
1009,-1530,11.01
614,-1860,10.65
494,-2262,12.78
79,-1889,10.04
2,-2461,10.94
401,-2803,12.43
763,-2670,14.09
1111,-2259,10.64
1334,-2518,10.26
-108,-1669,11.14
-543,-1819,13.06
-623,-1310,11.79
-604,-957,12.63
-587,-557,11.92
-385,-263,11
-4,-370,11.56
383,-536,11.3
578,-958,11.55
535,-1269,11.6
1345,10,12.44
782,-5,11.49
824,-495,10.53
1137,-395,11.24
1051,-962,10.66
958,-1257,11.75
657,-1178,11.49
138,-1473,12.55
-131,-1044,11.26
67,-681,10.6
2090,-1527,10.83
1539,-1408,10.39
1341,-1023,10.74
980,-1408,11.61
1040,-930,10.63
571,-1188,10.69
304,-1389,10.88
-176,-1738,11.82
-703,-1562,11.52
-395,-1492,11.35
3177,-875,11.74
2785,-562,10.56
3209,-495,10.32
2967,-943,11.46
3164,-1265,11.57
3461,-1319,10.28
3892,-1158,11.26
3526,-1040,11.45
3019,-1329,11.17
2797,-1856,9.69
4535,-970,10.46
3983,-736,11.39
4198,-1149,11.74
3840,-869,10.93
3538,-1130,10.42
3717,-1520,9.84
4056,-1813,11.36
4347,-1948,13.12
4553,-1420,12.96
4536,-1101,11.82
