X,Y,r,PL,RMS
2615,-1195,2875.11,65.0,10.62
2147,-1218,2468.43,67.8,12.83
1889,-1372,2334.67,68.5,13.69
1931,-1901,2709.72,66.7,11.48
2413,-1624,2908.6,65.5,10.74
2110,-2113,2986.11,65.9,11.31
1516,-2176,2652.02,68.4,12.93
1731,-1779,2482.18,65.1,11.04
2084,-1922,2834.99,66.2,11.71
1610,-1977,2549.63,67.6,13.24
1592,-1434,2142.62,65.8,11.04
2112,-1367,2515.8,66.1,10.88
2410,-1522,2850.37,65.5,10.06
2150,-1898,2867.91,65.2,10.19
2513,-2062,3250.69,66.6,11.47
2753,-1665,3217.33,66.1,11.23
3122,-1865,3636.63,66.1,10.97
3239,-2272,3956.4,67.7,12.92
2927,-2437,3808.71,65.4,11.18
2491,-1160,2747.85,67.0,12.61
2217,-915,2398.4,67.7,13.04
1930,-1211,2278.47,66.5,11.62
2253,-1167,2537.3,67.2,12.51
2670,-1429,3028.36,66.4,11.46
2780,-1765,3292.97,66.2,11.5
2772,-2078,3464.4,66.0,10.88
2972,-2555,3919.29,68.0,13.71
2672,-2285,3515.79,66.8,12.44
2303,-2619,3487.54,68.9,12.05
4186,-556,4222.76,66.9,11.8
4034,-981,4151.57,67.9,12.6
3944,-1456,4204.17,64.0,9.02
3632,-1008,3769.28,65.9,11.12
3174,-1057,3345.37,67.5,12.98
2837,-1183,3073.77,66.9,11.25
3079,-820,3186.32,66.3,11.51
2683,-983,2857.41,66.2,11.5
2482,-1538,2919.89,65.2,11.07
2047,-1321,2436.24,67.3,13.06
1491,-1516,2126.34,67.4,13.01
1009,-1530,1832.75,67.3,12.44
614,-1860,1958.72,67.0,12.13
494,-2262,2315.31,65.4,11.27
79,-1889,1890.65,66.2,11.54
2,-2461,2461.0,66.3,11.47
401,-2803,2831.54,65.4,10.23
763,-2670,2776.88,67.6,12.58
1111,-2259,2517.42,65.9,10.6
1334,-2518,2849.54,65.9,10.13
-108,-1669,1672.49,65.4,10.82
-543,-1819,1898.32,67.6,13.82
-623,-1310,1450.6,66.7,12.24
-604,-957,1131.66,65.4,11.96
-587,-557,809.21,66.1,11.61
-385,-263,466.26,66.3,12.35
-4,-370,370.02,64.7,10.56
383,-536,658.78,66.0,12.01
578,-958,1118.86,65.1,10.36
535,-1269,1377.17,69.5,13.9
