X,Y,r,PL,RMS
-2270,-1136,2538.38,63.6,9.0
-1915,-1338,2336.12,63.0,8.38
-1536,-1468,2124.69,64.1,9.15
-1775,-1049,2061.8,63.5,8.36
-1780,-746,1930.0,62.4,7.7
-2089,-642,2185.43,63.7,9.18
-2118,-1108,2390.31,62.7,8.34
-1634,-770,1806.34,64.3,9.68
-1528,-1289,1999.08,66.2,10.61
-121,-1330,1335.49,61.3,7.54
-565,-1450,1556.19,62.9,8.41
-274,-1135,1167.6,62.1,8.61
-809,-944,1243.23,63.5,8.83
-1154,-926,1479.59,63.0,8.79
-1297,-1355,1875.7,63.0,8.32
-1807,-1443,2312.47,61.8,7.63
-1729,-931,1963.72,62.9,8.4
-2265,-851,2419.59,63.3,8.84
-1776,-713,1913.78,63.0,8.22
-1664,-1262,2088.43,64.9,9.52
-1322,-1368,1902.4,62.8,8.13
-1199,-1007,1565.77,63.4,8.69
-1019,-1303,1654.14,63.3,8.46
-1133,-943,1474.09,62.7,8.47
-1341,-1204,1802.19,62.9,8.17
-1802,-1148,2136.61,63.4,8.76
-1340,-961,1648.98,62.6,8.03
-1770,-916,1992.98,62.7,8.29
-2059,-1257,2412.37,62.1,7.82
-1494,-1093,1851.13,64.8,9.86
-1138,-1147,1615.75,62.6,8.0
-1071,-855,1370.43,63.0,8.69
-1345,-1324,1887.33,63.3,8.44
-1877,-1116,2183.71,63.4,8.67
-2245,-891,2415.35,63.2,8.96
-2012,-1228,2357.14,62.7,8.33
-2421,-1234,2717.35,61.4,7.29
-2370,-852,2518.49,62.4,8.21
-2500,-1387,2858.98,61.8,7.71
