,r,PL,RMS,source_file,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_RMS_diff,PL_RMS_abs_diff,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,PL_group_mean,PL_group_std,PL_normalized,RMS_group_mean,RMS_group_std,RMS_normalized,interaction_H_H,interaction_H_L,interaction_H_M,interaction_H_VH,interaction_L_H,interaction_L_L,interaction_L_M,interaction_L_VL,interaction_M_H,interaction_M_L,interaction_M_M,interaction_M_VH,interaction_M_VL,interaction_VH_H,interaction_VH_M,interaction_VH_VH,interaction_VL_H,interaction_VL_L,interaction_VL_M,interaction_VL_VL
90,985.330,64.200,10.180,FCPR-D1_CIR.csv,6.306,0.159,653.556,54.020,54.020,4121.640,103.632,8.012,3.191,4.177,2.414,1.900,2.768,63.069,0.782,1.446,8.650,0.574,2.666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
91,950.090,63.100,8.660,FCPR-D1_CIR.csv,7.286,0.137,546.446,54.440,54.440,3981.610,74.996,7.944,2.943,4.160,2.268,1.879,2.377,63.069,0.782,0.040,8.650,0.574,0.017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,1127.600,62.800,8.760,FCPR-D1_CIR.csv,7.169,0.139,550.128,54.040,54.040,3943.840,76.738,7.925,2.960,4.156,2.278,1.874,2.401,63.069,0.782,-0.344,8.650,0.574,0.192,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
93,1557.360,62.600,8.250,FCPR-D1_CIR.csv,7.588,0.132,516.450,54.350,54.350,3918.760,68.062,7.912,2.872,4.153,2.225,1.870,2.282,63.069,0.782,-0.600,8.650,0.574,-0.697,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,1123.690,62.000,8.230,FCPR-D1_CIR.csv,7.533,0.133,510.260,53.770,53.770,3844.000,67.733,7.874,2.869,4.143,2.222,1.859,2.277,63.069,0.782,-1.367,8.650,0.574,-0.732,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
95,1302.360,63.000,8.600,FCPR-D1_CIR.csv,7.326,0.137,541.800,54.400,54.400,3969.000,73.960,7.937,2.933,4.159,2.262,1.878,2.363,63.069,0.782,-0.088,8.650,0.574,-0.087,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
96,919.400,62.500,7.970,FCPR-D1_CIR.csv,7.842,0.128,498.125,54.530,54.530,3906.250,63.521,7.906,2.823,4.151,2.194,1.868,2.219,63.069,0.782,-0.728,8.650,0.574,-1.185,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
97,1355.920,62.500,8.200,FCPR-D1_CIR.csv,7.622,0.131,512.500,54.300,54.300,3906.250,67.240,7.906,2.864,4.151,2.219,1.868,2.270,63.069,0.782,-0.728,8.650,0.574,-0.784,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,1774.290,63.200,8.390,FCPR-D1_CIR.csv,7.533,0.133,530.248,54.810,54.810,3994.240,70.392,7.950,2.897,4.162,2.240,1.881,2.314,63.069,0.782,0.168,8.650,0.574,-0.453,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
99,2143.240,62.800,8.130,FCPR-D1_CIR.csv,7.724,0.129,510.564,54.670,54.670,3943.840,66.097,7.925,2.851,4.156,2.212,1.874,2.255,63.069,0.782,-0.344,8.650,0.574,-0.906,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
100,2177.570,64.000,9.350,FCPR-D1_CIR.csv,6.845,0.146,598.400,54.650,54.650,4096.000,87.422,8.000,3.058,4.174,2.337,1.896,2.547,63.069,0.782,1.191,8.650,0.574,1.220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
101,2193.660,62.400,7.920,FCPR-D1_CIR.csv,7.879,0.127,494.208,54.480,54.480,3893.760,62.726,7.899,2.814,4.149,2.188,1.866,2.208,63.069,0.782,-0.855,8.650,0.574,-1.272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,2240.070,63.400,8.640,FCPR-D1_CIR.csv,7.338,0.136,547.776,54.760,54.760,4019.560,74.650,7.962,2.939,4.165,2.266,1.885,2.373,63.069,0.782,0.423,8.650,0.574,-0.017,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,1760.310,62.500,7.850,FCPR-D1_CIR.csv,7.962,0.126,490.625,54.650,54.650,3906.250,61.622,7.906,2.802,4.151,2.180,1.868,2.192,63.069,0.782,-0.728,8.650,0.574,-1.394,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
