X,Y,PL,RMS
-1818,-779,62.4,8.02
-2219,-895,64.6,9.92
-1686,-903,63.3,8.46
-2038,-927,62.6,7.66
-1805,-1164,64.9,9.49
-1288,-920,63.2,8.44
-727,-964,62.4,7.86
-196,-1244,62.7,8.81
-711,-1464,64.3,9
-994,-1334,64.1,9.35
-745,-1331,64.5,9.67
-1123,-1495,63.6,8.79
-1553,-1467,63.1,8.77
-1602,-1079,63.8,8.67
-1216,-1103,63.3,9.08
-1065,-763,64.3,8.66
-690,-1207,62.1,7.64
-144,-1093,64.5,9.86
-350,-729,64.3,9.36
-354,-1173,63.3,8.65
-1871,-1036,63.5,8.53
-1363,-962,64.5,8.97
-966,-1253,64.7,9.68
-1302,-1151,62.8,8.42
-1005,-1037,62.6,8.78
-674,-776,62.6,8.18
-235,-780,64.1,8.97
6,-1049,62.9,8.41
-414,-1421,62.3,7.51
58,-1340,62.7,7.8
-1516,-1220,63.6,8.98
-1891,-1403,63.7,8.46
-1327,-1370,63,8.88
-1145,-832,63.6,8.61
-733,-778,63.4,8.47
-597,-1278,62.4,8.71
-388,-743,62.5,7.93
158,-913,63.2,8.65
199,-1234,62.9,8.35
325,-1517,62,7.62
-781,-1314,63.2,9.41
-969,-788,64.3,9.12
-1128,-1086,62.9,8.75
-981,-585,63.6,9.07
-671,-634,63.1,8.41
-191,-512,62.5,8.97
-507,-496,64.7,9.44
-872,-942,62.6,8.94
-1162,-745,62.7,8.27
-857,-630,62.9,8.04
-1230,-707,63.6,8.26
-1160,-1031,63.2,8.95
-773,-985,62.7,8
-434,-1223,62.7,8.38
-288,-805,63.8,8.98
-572,-1037,62.9,9.04
-964,-1093,63.4,8.13
-1062,-1448,63.6,8.9
-1247,-1204,63.2,7.66
-1230,-1508,64.3,8.28
-2780,-1119,61.8,7.43
-2256,-1284,62.5,8.14
-1736,-1129,63,7.98
-1168,-1054,63.1,8.38
-749,-795,63.2,8.73
-1235,-849,63.9,8.32
-992,-1081,64.1,9.58
-1463,-749,62.9,8.3
-1914,-932,62.5,7.92
-2222,-1150,62.6,8.17
-162,-1065,64.6,10.08
-526,-598,63.7,8.8
-246,-981,62.8,8.66
-816,-1138,62.9,7.99
-961,-1414,62.3,8.07
-976,-1059,62.5,8.75
-646,-744,62.6,8.31
-170,-619,63.1,8.48
136,-880,64.1,9.08
146,-1375,63.4,9.07
-555,-473,64,9.15
-535,-794,62.1,8.17
-795,-1023,62.7,9.03
-579,-718,62.1,7.96
-889,-627,63.5,8.35
-1119,-1133,63.2,8.8
-1187,-793,64.4,9.04
-1530,-1135,63,8.05
-1101,-1300,63.6,8.96
-1427,-1445,63.2,8.64
-334,-927,62.7,8.08
63,-948,62.2,8.38
-314,-1083,62.4,8.34
-820,-1324,62.7,9.07
-764,-824,64.4,9.06
-673,-1115,62.7,8.77
-638,-662,63.9,9.46
-1045,-864,64,9.06
-1352,-1149,63.7,9.2
-1904,-984,62.8,8.21
-1939,-991,62.7,7.81
-1688,-1401,64,9.24
-1933,-1132,64.4,8.95
-1582,-772,63.5,8.46
-1227,-596,64.5,9.57
-845,-903,62.5,8.41
-806,-498,64,8.97
-769,-841,64.3,9.72
-1093,-814,63.8,8.69
-943,-1314,63,7.7
-573,-1262,62.7,8.8
-297,-909,62.1,8.23
-768,-1097,64.4,10.02
-1032,-874,62.9,8.78
-1172,-464,62.9,8
-1174,-812,63.8,9.09
-759,-877,62.1,8.35
-1056,-501,63.9,9.31
-1610,-521,63.1,8.34
-1448,-1071,63.1,7.78
-1287,-1017,63.1,8.73
-1666,-1069,63.8,9.33
-1681,-572,63.4,8.08
